,loss,val_loss,lr
0,73772539904.0,8649522176.0,0.0010350823
1,11918652416.0,5813428224.0,0.0010702482
2,5767526912.0,4409147904.0,0.001105413
3,3372967168.0,2545849088.0,0.0011405789
4,2010244608.0,1461663104.0,0.0011757438
5,1300629120.0,796964352.0,0.0012109097
6,824643904.0,757911168.0,0.0012460744
7,575507200.0,493941024.0,0.0012812393
8,413991520.0,354341952.0,0.0013164053
9,296879136.0,205451168.0,0.00135157
10,198343520.0,161519728.0,0.0013867359
11,139502784.0,115407680.0,0.0014219008
12,99552232.0,75170296.0,0.0014570656
13,71545968.0,55066836.0,0.0014922315
14,53026332.0,48044896.0,0.0015273964
15,39723312.0,37836364.0,0.0015625623
16,29905158.0,24323790.0,0.0015977271
17,22155436.0,19247148.0,0.001632893
18,15667974.0,11885488.0,0.0016680579
19,12138361.0,8893504.0,0.0017032226
20,8732416.0,5649111.0,0.0017383886
21,7150642.0,5607401.0,0.0017735534
22,5030848.0,4298986.0,0.0018087192
23,3580421.25,2909456.25,0.0018438841
24,3034501.5,2514812.5,0.001879049
25,2147349.25,1511601.375,0.0019142148
26,1611094.625,1375892.5,0.0019493797
27,1260981.5,1014696.0,0.0019845455
28,922115.6875,785911.375,0.0020197104
29,713514.1875,630956.5,0.0020548764
30,553528.6875,393877.90625,0.002090041
31,432844.84375,370754.1875,0.002125206
32,319473.3125,258099.375,0.002160372
33,254502.484375,177983.375,0.0021955366
34,185590.5625,161835.984375,0.0022307027
35,148811.546875,112895.3984375,0.0022658675
36,122740.453125,69495.0,0.0023010322
37,87451.3203125,67643.4609375,0.0023361982
38,65573.4765625,48090.57421875,0.002371363
39,53171.9375,18992.140625,0.002406529
40,43006.94921875,20083.30859375,0.0024416938
41,29337.58203125,17417.42578125,0.0024768587
42,22278.86328125,17320.095703125,0.0025120245
43,17417.318359375,14994.4140625,0.0025471894
44,14174.8974609375,10064.88671875,0.0025823552
45,11961.4267578125,6405.4560546875,0.00261752
46,8176.18017578125,5905.439453125,0.002652686
47,6535.80322265625,4749.36279296875,0.0026878507
48,5195.41015625,3126.2109375,0.0027230156
49,4107.16552734375,2934.341552734375,0.0027581817
50,3370.6806640625,2254.7275390625,0.0027933463
51,2470.654052734375,1664.39794921875,0.0028285123
52,1916.8824462890625,1269.6368408203125,0.0028636772
53,1441.4307861328125,1065.5863037109375,0.0028988419
54,1261.5679931640625,886.8084106445312,0.002934008
55,912.0038452148438,619.4315795898438,0.0029691728
56,727.8710327148438,409.4344482421875,0.0030043386
57,590.60302734375,372.67926025390625,0.0030395035
58,467.0933837890625,273.3488464355469,0.0030746693
59,348.3874816894531,207.06422424316406,0.0031098342
60,309.82611083984375,222.76480102539062,0.003144999
61,225.35330200195312,142.18031311035156,0.0031801648
62,199.04421997070312,131.5101318359375,0.0032153297
63,162.5397491455078,135.3245086669922,0.0032504955
64,136.18936157226562,102.93942260742188,0.0032856604
65,115.35433959960938,85.90231323242188,0.0033208253
66,92.950927734375,70.78206634521484,0.003355991
67,83.086181640625,66.75767517089844,0.003391156
68,71.29149627685547,59.89418411254883,0.003426322
69,65.39625549316406,53.57283020019531,0.0034614867
70,61.270381927490234,50.1929931640625,0.0034966527
71,55.80860900878906,43.7625846862793,0.0035318176
72,50.69255065917969,44.90506362915039,0.0035669822
73,47.840248107910156,44.061927795410156,0.0036021483
74,46.773738861083984,41.32149887084961,0.0036373131
75,45.302555084228516,41.33402633666992,0.003672479
76,43.43832015991211,40.24510192871094,0.0037076438
77,43.010860443115234,39.58913803100586,0.0037428087
78,42.219783782958984,39.22568130493164,0.0037779745
79,41.55751419067383,39.20927047729492,0.0038131394
80,41.315956115722656,39.019187927246094,0.0038483052
81,41.11617660522461,38.967227935791016,0.00388347
82,40.98421859741211,38.8743782043457,0.003918636
83,40.82952880859375,38.849090576171875,0.003953801
84,40.65817642211914,38.85268020629883,0.003988966
85,40.60722351074219,38.79256820678711,0.0040241317
86,40.44554901123047,38.891937255859375,0.0040592966
87,40.459747314453125,38.75553512573242,0.0040944624
88,40.474143981933594,39.02509689331055,0.0041296273
89,40.40950393676758,38.880767822265625,0.004164792
90,40.40667724609375,38.81411361694336,0.004199958
91,40.28609085083008,38.76612854003906,0.004235123
92,40.29233169555664,38.89433670043945,0.0042702886
93,40.26430892944336,38.909996032714844,0.0043054535
94,40.13060760498047,38.77565002441406,0.0043406184
95,40.09086608886719,38.726356506347656,0.004375784
96,40.04391860961914,38.79250717163086,0.004410949
97,40.048919677734375,38.85633087158203,0.004446115
98,39.85159683227539,38.67898941040039,0.0044812798
99,39.84239196777344,38.67782211303711,0.0045164456
100,40.50887680053711,39.80487823486328,0.0045516104
101,40.21173858642578,39.14274597167969,0.0045867753
102,39.5869140625,39.05076217651367,0.004621941
103,39.34318161010742,39.09965515136719,0.004657106
104,39.19461441040039,38.9694938659668,0.004692272
105,39.03733444213867,39.156494140625,0.0047274367
106,38.92228698730469,39.01887130737305,0.0047626016
107,38.824039459228516,38.970760345458984,0.0047977674
108,38.712955474853516,39.00165557861328,0.0048329323
109,38.59100341796875,39.35759735107422,0.004868098
110,38.498653411865234,39.95528793334961,0.004903263
111,38.43840026855469,40.965518951416016,0.004938429
112,38.37705993652344,40.93879318237305,0.0049735936
113,38.30549240112305,41.48212814331055,0.0050087585
114,38.224449157714844,41.15843963623047,0.005043925
